Day,,,,,,,,,
"January 1, 2019 - August 24, 2019",,,,,,,,,
Day,Campaign,Path - Android App Install_All conv.,Path - Corporate Inquiry – Contact_All conv.,Path - Corporate – Booking_All conv.,Path - CurrentCustomer – Booking_All conv.,Path - Email Capture (No Password)_All conv.,Path - Gift Card – Booking_All conv.,Path - NetNewCustomer – Booking_All conv.,Path - UpgradingCustomer – Booking_All conv.
1/5/2019,Google - Generic - Geo Keywords - Massage,0,0,0,0,0,0,0,0
1/5/2019,Google - Generic - Google Play - App,1,0,0,0,0,0,0,0
1/5/2019,Google - Generic - In Home - Massage Home Modifier - National,0,0,0,0,0,0,0,0
1/5/2019,Google - Generic - Massage - Core - National,1,0,0,0,0,0,0,0
1/5/2019,Google - Generic - Massage - SKAG - National,0,0,0,0,0,0,0,0
1/5/2019,Google - Generic - Massage Types,0,0,0,0,0,0,0,0
1/5/2019,Google - UAC - In Home - Android,18,0,0,0,0,0,0,0
1/6/2019,Croud_Google_GDN_In Home_Re-engagement,0,0,0,0,0,0,0,0
1/6/2019,Croud_Google_GDN_In Home_Re-marketing,0,0,0,0,0,0,0,0
1/6/2019,Google - Brand - Core - SKAG,0,0,0,0,0,0,0,0
1/6/2019,Google - Brand - Extra Tokens,1,0,0,0,0,0,0,0
1/6/2019,Google - Generic - Competitors,0,0,0,0,0,0,0,0
1/6/2019,Google - Generic - Corporate - Massage,0,1,0,0,0,0,0,0
1/6/2019,Google - Generic - DSA,0,0,0,0,0,0,0,0
1/6/2019,Google - Generic - Geo Keywords - Massage,0,0,0,0,0,0,0,0
1/6/2019,Google - Generic - Google Play - App,1,0,0,0,0,0,0,0
1/6/2019,Google - Generic - In Home - Massage Home Modifier - National,0,0,0,0,0,0,0,0
1/6/2019,Google - Generic - Massage - Core - National,0,0,0,0,0,0,0,0
1/6/2019,Google - Generic - Massage - SKAG - National,0,0,0,0,0,0,0,0
1/6/2019,Google - Generic - Massage Types,0,0,0,0,0,0,0,0
1/6/2019,Google - UAC - In Home - Android,16,0,0,0,0,0,0,0
1/7/2019,Croud_Google_GDN_In Home_Membership Remarketing,0,0,0,0,0,0,0,0
1/7/2019,Croud_Google_GDN_In Home_Re-engagement,0,0,0,0,0,0,0,0
1/7/2019,Croud_Google_GDN_In Home_Re-marketing,0,0,0,0,0,0,0,0
1/7/2019,Google - Brand - Core - SKAG,2,1,0,0,0,0,0,0
1/7/2019,Google - Brand - Corporate - Brand,0,0,0,0,0,0,0,0
1/7/2019,Google - Brand - Extra Tokens,1,0,0,0,0,0,0,0
1/7/2019,Google - Generic - Competitors,0,0,0,0,0,0,0,0
1/7/2019,Google - Generic - Corporate - Massage,0,2,0,0,0,0,0,0
1/7/2019,Google - Generic - DSA,0,0,0,0,0,0,0,0
1/7/2019,Google - Generic - Geo Keywords - Massage,0,0,0,0,0,0,0,0
1/7/2019,Google - Generic - Google Play - App,0,0,0,0,0,0,0,0
1/7/2019,Google - Generic - In Home - Massage Home Modifier - National,1,0,0,0,0,0,0,0
1/7/2019,Google - Generic - Massage - Core - National,0,0,0,0,0,0,0,0
1/7/2019,Google - Generic - Massage - SKAG - National,0,0,0,0,0,0,0,0
1/7/2019,Google - Generic - Massage Types,0,0,0,0,0,0,0,0
1/7/2019,Google - UAC - In Home - Android,7,0,0,0,0,0,0,0
1/8/2019,Croud_Google_GDN_In Home_Membership Remarketing,0,0,0,0,0,0,0,0
1/8/2019,Croud_Google_GDN_In Home_Re-engagement,0,0,0,0,0,0,0,0
1/8/2019,Croud_Google_GDN_In Home_Re-marketing,0,1,0,0,0,0,0,0
1/8/2019,Google - Brand - Core - SKAG,3,3,0,0,0,0,0,0
1/8/2019,Google - Brand - Extra Tokens,1,0,0,0,0,0,0,0
1/8/2019,Google - Generic - Competitors,0,0,0,0,0,0,0,0
1/8/2019,Google - Generic - Corporate - Massage,0,2,0,0,0,0,0,0
1/8/2019,Google - Generic - DSA,0,0,0,0,0,0,0,0
1/8/2019,Google - Generic - Geo Keywords - Massage,0,0,0,0,0,0,0,0
1/8/2019,Google - Generic - Google Play - App,0,0,0,0,0,0,0,0
1/8/2019,Google - Generic - In Home - Massage Home Modifier - National,0,0,0,0,0,0,0,0
1/8/2019,Google - Generic - Massage - Core - National,0,0,0,0,0,0,0,0
1/8/2019,Google - Generic - Massage - SKAG - National,0,0,0,0,0,0,0,0
1/8/2019,Google - Generic - Massage Types,0,0,0,0,0,0,0,0
1/8/2019,Google - UAC - In Home - Android,25,0,0,0,0,0,0,0
1/9/2019,Croud_Google_GDN_In Home_Membership Remarketing,0,0,0,0,0,0,0,0
1/9/2019,Croud_Google_GDN_In Home_Re-engagement,0,0,0,0,0,0,0,0
1/9/2019,Croud_Google_GDN_In Home_Re-marketing,0,0,0,0,0,0,0,0
1/9/2019,Google - Brand - Core - SKAG,1,1,0,0,0,0,0,0
1/9/2019,Google - Brand - Extra Tokens,0,0,0,0,0,0,0,0
1/9/2019,Google - Generic - Competitors,0,0,0,0,0,0,0,0
1/9/2019,Google - Generic - Corporate - Massage,0,4,0,0,0,0,0,0
1/9/2019,Google - Generic - DSA,0,0,0,0,0,0,0,0
1/9/2019,Google - Generic - Geo Keywords - Massage,0,0,0,0,0,0,0,0
1/9/2019,Google - Generic - Google Play - App,0,0,0,0,0,0,0,0
1/9/2019,Google - Generic - In Home - Massage Home Modifier - National,1,0,0,0,0,0,0,0
1/9/2019,Google - Generic - Massage - Core - National,0,0,0,0,0,0,0,0
1/9/2019,Google - Generic - Massage - SKAG - National,0,0,0,0,0,0,0,0
1/9/2019,Google - Generic - Massage Types,0,0,0,0,0,0,0,0
1/9/2019,Google - Generic - Masseuse,0,0,0,0,0,0,0,0
1/9/2019,Google - Generic - Therapist - CA,0,0,0,0,0,0,0,0
1/9/2019,Google - UAC - In Home - Android,13,0,0,0,0,0,0,0
1/10/2019,Croud_Google_GDN_In Home_Membership Remarketing,0,0,0,0,0,0,0,0
1/10/2019,Croud_Google_GDN_In Home_Re-marketing,0,0,0,0,0,0,0,0
1/10/2019,Google - Brand - Core - SKAG,1,0,0,0,0,0,0,0
1/10/2019,Google - Brand - Extra Tokens,0,0,0,0,0,0,0,0
1/10/2019,Google - Generic - Competitors,0,0,0,0,0,0,0,0
1/10/2019,Google - Generic - Corporate - Massage,0,3,0,0,0,0,0,0
1/10/2019,Google - Generic - DSA,0,0,0,0,0,0,0,0
1/10/2019,Google - Generic - Geo Keywords - Massage,0,1,0,0,0,0,0,0
1/10/2019,Google - Generic - Google Play - App,0,0,0,0,0,0,0,0
1/10/2019,Google - Generic - In Home - Massage Home Modifier - National,0,0,0,0,0,0,0,0
1/10/2019,Google - Generic - Massage - Core - National,0,1,0,0,0,0,0,0
1/10/2019,Google - Generic - Massage - SKAG - National,0,0,0,0,0,0,0,0
1/10/2019,Google - Generic - Massage Types,0,0,0,0,0,0,0,0
1/10/2019,Google - UAC - In Home - Android,13,0,0,0,0,0,0,0
1/11/2019,Croud_Google_GDN_In Home_Membership Remarketing,0,0,0,0,0,0,0,0
1/11/2019,Croud_Google_GDN_In Home_Re-engagement,0,0,0,0,0,0,0,0
1/11/2019,Croud_Google_GDN_In Home_Re-marketing,0,0,0,0,0,0,0,0
1/11/2019,Google - Brand - Core - SKAG,1,0,0,0,0,0,0,0
1/11/2019,Google - Brand - Corporate - Brand,0,1,0,0,0,0,0,0
1/11/2019,Google - Brand - Extra Tokens,1,0,0,0,0,0,0,0
1/11/2019,Google - Generic - Competitors,0,0,0,0,0,0,0,0
1/11/2019,Google - Generic - Corporate - Competitor,0,0,0,0,0,0,0,0
1/11/2019,Google - Generic - Corporate - Massage,0,2,0,0,0,0,0,0
1/11/2019,Google - Generic - DSA,0,0,0,0,0,0,0,0
1/11/2019,Google - Generic - Geo Keywords - Massage,0,0,0,0,0,0,0,0
1/11/2019,Google - Generic - Google Play - App,0,0,0,0,0,0,0,0
1/11/2019,Google - Generic - In Home - Massage Home Modifier - National,0,0,0,0,0,0,0,0
1/11/2019,Google - Generic - Massage - Core - National,0,0,0,0,0,0,0,0
1/11/2019,Google - Generic - Massage - SKAG - National,0,0,0,0,0,0,0,0
1/11/2019,Google - Generic - Massage Types,0,0,0,0,0,0,0,0
1/11/2019,Google - UAC - In Home - Android,20,0,0,0,0,0,0,0
1/12/2019,Croud_Google_GDN_In Home_Re-engagement,0,0,0,0,0,0,0,0
1/12/2019,Croud_Google_GDN_In Home_Re-marketing,0,0,0,0,0,0,0,0
1/12/2019,Google - Brand - Core - SKAG,1,0,0,0,0,0,0,0
1/12/2019,Google - Brand - Extra Tokens,0,0,0,0,0,0,0,0
1/12/2019,Google - Generic - Competitors,0,0,0,0,0,0,0,0
1/12/2019,Google - Generic - Corporate - Massage,0,1,0,0,0,0,0,0
1/12/2019,Google - Generic - DSA,0,0,0,0,0,0,0,0
1/12/2019,Google - Generic - Geo Keywords - Massage,0,0,0,0,0,0,0,0
1/12/2019,Google - Generic - Google Play - App,0,0,0,0,0,0,0,0
1/12/2019,Google - Generic - In Home - Massage Home Modifier - National,2,0,0,0,0,0,0,0
1/12/2019,Google - Generic - Massage - Core - National,0,0,0,0,0,0,0,0
1/12/2019,Google - Generic - Massage - SKAG - National,0,0,0,0,0,0,0,0
1/12/2019,Google - Generic - Massage Types,0,0,0,0,0,0,0,0
1/12/2019,Google - UAC - In Home - Android,24,0,0,0,0,0,0,0
1/13/2019,Croud_Google_GDN_In Home_Membership Remarketing,0,0,0,0,0,0,0,0
1/13/2019,Croud_Google_GDN_In Home_Re-engagement,0,0,0,0,0,0,0,0
1/13/2019,Croud_Google_GDN_In Home_Re-marketing,0,0,0,0,0,0,0,0
1/13/2019,Google - Brand - Core - SKAG,1,0,0,0,0,0,0,0
1/13/2019,Google - Brand - Extra Tokens,0,0,0,0,0,0,0,0
1/13/2019,Google - Generic - Competitors,0,0,0,0,0,0,0,0
1/13/2019,Google - Generic - Corporate - Massage,0,0,0,0,0,0,0,0
1/13/2019,Google - Generic - DSA,0,0,0,0,0,0,0,0
1/13/2019,Google - Generic - Geo Keywords - Massage,0,0,0,0,0,0,0,0
1/13/2019,Google - Generic - Google Play - App,0,0,0,0,0,0,0,0
1/13/2019,Google - Generic - In Home - Massage Home Modifier - National,0,0,0,0,0,0,0,0
1/13/2019,Google - Generic - Massage - Core - National,1,0,0,0,0,0,0,0
1/13/2019,Google - Generic - Massage - SKAG - National,0,0,0,0,0,0,0,0
1/13/2019,Google - Generic - Massage Types,0,0,0,0,0,0,0,0
1/13/2019,Google - Generic - Masseuse,0,0,0,0,0,0,0,0
1/13/2019,Google - UAC - In Home - Android,39,0,0,0,0,0,0,0
1/14/2019,Croud_Google_GDN_In Home_Membership Remarketing,0,0,0,0,0,0,0,0
1/14/2019,Croud_Google_GDN_In Home_Re-engagement,0,0,0,0,0,0,0,0
1/14/2019,Croud_Google_GDN_In Home_Re-marketing,0,0,0,0,0,0,0,0
1/14/2019,Google - Brand - Core - SKAG,2,2,0,0,0,0,0,0
1/14/2019,Google - Brand - Corporate - Brand,0,0,0,0,0,0,0,0
1/14/2019,Google - Brand - Extra Tokens,0,0,0,0,0,0,0,0
1/14/2019,Google - Generic - Competitors,0,1,0,0,0,0,0,0
1/14/2019,Google - Generic - Corporate - Massage,0,4,0,0,0,0,0,0
1/14/2019,Google - Generic - DSA,0,0,0,0,0,0,0,0
1/14/2019,Google - Generic - Geo Keywords - Massage,0,0,0,0,0,0,0,0
1/14/2019,Google - Generic - Google Play - App,0,0,0,0,0,0,0,0
1/14/2019,Google - Generic - In Home - Massage Home Modifier - National,0,0,0,0,0,0,0,0
1/14/2019,Google - Generic - Massage - Core - National,1,0,0,0,0,0,0,0
1/14/2019,Google - Generic - Massage - SKAG - National,1,0,0,0,0,0,0,0
1/14/2019,Google - Generic - Massage Types,0,0,0,0,0,0,0,0
1/14/2019,Google - Generic - Masseuse,0,0,0,0,0,0,0,0
1/14/2019,Google - UAC - In Home - Android,22,0,0,0,0,0,0,0
1/15/2019,Croud_Google_GDN_In Home_Membership Remarketing,0,0,0,0,0,0,0,0
1/15/2019,Croud_Google_GDN_In Home_Re-engagement,0,0,0,0,0,0,0,0
1/15/2019,Croud_Google_GDN_In Home_Re-marketing,0,0,0,0,0,0,0,0
1/15/2019,Google - Brand - Core - SKAG,1,1,0,0,0,0,0,0
1/15/2019,Google - Brand - Extra Tokens,0,0,0,0,0,0,0,0
1/15/2019,Google - Generic - Competitors,0,0,0,0,0,0,0,0
1/15/2019,Google - Generic - Corporate - Competitor,0,0,0,0,0,0,0,0
1/15/2019,Google - Generic - Corporate - Massage,0,4,0,0,0,0,0,0
1/15/2019,Google - Generic - DSA,0,1,0,0,0,0,0,0
1/15/2019,Google - Generic - Geo Keywords - Massage,0,0,0,0,0,0,0,0
1/15/2019,Google - Generic - Google Play - App,0,0,0,0,0,0,0,0
1/15/2019,Google - Generic - In Home - Massage Home Modifier - National,0,0,0,0,0,0,0,0
1/15/2019,Google - Generic - Massage - Core - National,1,0,0,0,0,0,0,0
1/15/2019,Google - Generic - Massage - SKAG - National,0,0,0,0,0,0,0,0
1/15/2019,Google - Generic - Massage Types,0,0,0,0,0,0,0,0
1/15/2019,Google - Generic - Masseuse,0,0,0,0,0,0,0,0
1/15/2019,Google - UAC - In Home - Android,32,0,0,0,0,0,0,0
1/16/2019,Croud_Google_GDN_In Home_Membership Remarketing,0,0,0,0,0,0,0,0
1/16/2019,Croud_Google_GDN_In Home_Re-engagement,0,0,0,0,0,0,0,0
1/16/2019,Croud_Google_GDN_In Home_Re-marketing,0,0,0,0,0,0,0,0
1/16/2019,Google - Brand - Core - SKAG,0,0,0,0,0,0,0,0
1/16/2019,Google - Brand - Extra Tokens,0,0,0,0,0,0,0,0
1/16/2019,Google - Generic - Competitors,0,0,0,0,0,0,0,0
1/16/2019,Google - Generic - Corporate - Massage,0,2,0,0,0,0,0,0
1/16/2019,Google - Generic - DSA,0,0,0,0,0,0,0,0
1/16/2019,Google - Generic - Geo Keywords - Massage,0,0,0,0,0,0,0,0
1/16/2019,Google - Generic - Google Play - App,0,0,0,0,0,0,0,0
1/16/2019,Google - Generic - In Home - Competitors Reme,0,0,0,0,0,0,0,0
1/16/2019,Google - Generic - In Home - Massage Home Modifier - National,1,0,0,0,0,0,0,0
1/16/2019,Google - Generic - Massage - Core - National,0,1,0,0,0,0,0,0
1/16/2019,Google - Generic - Massage - SKAG - National,0,0,0,0,0,0,0,0
1/16/2019,Google - Generic - Massage Types,0,0,0,0,0,0,0,0
1/16/2019,Google - Generic - Masseuse,0,0,0,0,0,0,0,0
1/16/2019,Google - UAC - In Home - Android,23,0,0,0,0,0,0,0
1/17/2019,Croud_Google_GDN_In Home_Membership Remarketing,0,0,0,0,0,0,0,0
1/17/2019,Croud_Google_GDN_In Home_Re-engagement,0,0,0,0,0,0,0,0
1/17/2019,Croud_Google_GDN_In Home_Re-marketing,0,0,0,0,0,0,0,0
1/17/2019,Google - Brand - Core - SKAG,0,1,0,0,0,0,0,0
1/17/2019,Google - Brand - Extra Tokens,1,0,0,0,0,0,0,0
1/17/2019,Google - Generic - Competitors,0,0,0,0,0,0,0,0
1/17/2019,Google - Generic - Corporate - Massage,0,3,0,0,0,0,0,0
1/17/2019,Google - Generic - DSA,0,0,0,0,0,0,0,0
1/17/2019,Google - Generic - Geo Keywords - Massage,0,1,0,0,0,0,0,0
1/17/2019,Google - Generic - Google Play - App,0,0,0,0,0,0,0,0
1/17/2019,Google - Generic - In Home - Massage Home Modifier - National,1,0,0,0,0,0,0,0
1/17/2019,Google - Generic - Massage - Core - National,0,0,0,0,0,0,0,0
1/17/2019,Google - Generic - Massage - SKAG - National,0,0,0,0,0,0,0,0
1/17/2019,Google - Generic - Massage Types,0,0,0,0,0,0,0,0
1/17/2019,Google - Generic - Masseuse,0,0,0,0,0,0,0,0
1/17/2019,Google - UAC - In Home - Android,23,0,0,0,0,0,0,0
1/18/2019,Croud_Google_GDN_In Home_Membership Remarketing,0,0,0,0,0,0,0,0
1/18/2019,Croud_Google_GDN_In Home_Re-engagement,0,0,0,0,0,0,0,0
1/18/2019,Croud_Google_GDN_In Home_Re-marketing,0,0,0,0,0,0,0,0
1/18/2019,Google - Brand - Core - SKAG,2,0,0,0,0,0,0,0
1/18/2019,Google - Brand - Extra Tokens,0,0,0,0,0,0,0,0
1/18/2019,Google - Generic - Competitors,0,0,0,0,0,0,0,0
1/18/2019,Google - Generic - Corporate - Massage,0,1,0,0,0,0,0,0
1/18/2019,Google - Generic - DSA,0,0,0,0,0,0,0,0
1/18/2019,Google - Generic - Geo Keywords - Massage,0,0,0,0,0,0,0,0
1/18/2019,Google - Generic - Google Play - App,0,0,0,0,0,0,0,0
1/18/2019,Google - Generic - In Home - Massage Home Modifier - National,2,0,0,0,0,0,0,0
1/18/2019,Google - Generic - Massage - Core - National,0,0,0,0,0,0,0,0
1/18/2019,Google - Generic - Massage - SKAG - National,0,0,0,0,0,0,0,0
1/18/2019,Google - Generic - Massage Types,0,0,0,0,0,0,0,0
1/18/2019,Google - Generic - Masseuse,0,0,0,0,0,0,0,0
1/18/2019,Google - UAC - In Home - Android,17,0,0,0,0,0,0,0
1/19/2019,Croud_Google_GDN_In Home_Membership Remarketing,0,0,0,0,0,0,0,0
1/19/2019,Croud_Google_GDN_In Home_Re-engagement,0,0,0,0,0,0,0,0
1/19/2019,Croud_Google_GDN_In Home_Re-marketing,0,0,0,0,0,0,0,0
1/19/2019,Google - Brand - Core - SKAG,3,0,0,0,0,0,0,0
1/19/2019,Google - Brand - Extra Tokens,0,0,0,0,0,0,0,0
1/19/2019,Google - Generic - Competitors,0,0,0,0,0,0,0,0
1/19/2019,Google - Generic - Corporate - Massage,0,0,0,0,0,0,0,0
1/19/2019,Google - Generic - DSA,0,0,0,0,0,0,0,0
1/19/2019,Google - Generic - Geo Keywords - Massage,0,0,0,0,0,0,0,0
1/19/2019,Google - Generic - Google Play - App,0,0,0,0,0,0,0,0
1/19/2019,Google - Generic - In Home - Massage Home Modifier - National,0,0,0,0,0,0,0,0
1/19/2019,Google - Generic - Massage - Core - National,2,0,0,0,0,0,0,0
1/19/2019,Google - Generic - Massage - SKAG - National,0,0,0,0,0,0,0,0
