Unsaved report,,,,,,,,
"January 1, 2019 - August 24, 2019",,,,,,,,
Day,Campaign, Clicks , Impressions , Cost , Avg. position , Conversions ,Search Impr. share,index
1/4/2019,Google - Generic - Therapist - CA,0,9,0,2,0,52.94%,77
1/4/2019,Google - Generic - In Home - Massage Home Modifier - National,191,3451,658,2,7,79.28%,78
1/4/2019,Google - Generic - Massage - Core - National,221,4364,543,2,3,27.16%,79
1/4/2019,Google - Generic - Competitors,54,2414,75,2,0,16.10%,80
1/4/2019,Google - Generic - In Home - Competitors Reme,3,210,10,2,0,60.69%,81
1/4/2019,Google - Generic - Therapist - US,2,17,3,2,0,36.96%,82
1/4/2019,Google - Brand - Core - SKAG,146,826,187,1,22,95.82%,83
1/4/2019,Google - Brand - Extra Tokens,66,327,180,1,7,41.60%,84
1/4/2019,Croud_Google_GDN_In Home_Re-engagement,1,1063,34,1,1,0,85
1/4/2019,Google - Generic - Google Play - App,11,83,34,1,0,100.00%,86
1/4/2019,Croud_Google_GDN_In Home_Re-marketing,14,5905,18,1,0,0,87
1/4/2019,Croud_Google_GDN_In Home_Membership Remarketing,7,4184,14,1,0,0,88
1/4/2019,Google - Brand - Corporate - Brand,2,8,5,1,0,100.00%,89
1/5/2019,Google - Generic - Corporate - Competitor,0,21,0,4,0,13.82%,90
1/5/2019,Google - Generic - Masseuse,0,3,0,3,0,75.00%,91
1/5/2019,Google - Generic - Geo Keywords - Massage,246,7944,233,3,3,18.82%,92
1/5/2019,Google - Generic - Massage - SKAG - National,165,5793,168,3,1,10%,93
1/5/2019,Google - Generic - Massage Types,44,1186,54,3,0,35.82%,94
1/5/2019,Google - Generic - Corporate - Massage,14,766,47,3,0,31.64%,95
1/5/2019,Google - UAC - In Home - Android,82,2640,12,3,18,10%,96
1/5/2019,Google - Generic - In Home - Competitors Reme,0,125,0,2,0,60.39%,97
1/5/2019,Google - Generic - Therapist - US,0,10,0,2,0,27.03%,98
1/5/2019,Google - Generic - Therapist - CA,0,9,0,2,0,69.23%,99
1/5/2019,Google - Generic - In Home - Massage Home Modifier - National,232,3171,822,2,3,80.83%,100
1/5/2019,Google - Generic - Massage - Core - National,181,4284,371,2,2,26.38%,101
1/5/2019,Google - Generic - Competitors,65,2238,95,2,0,15.64%,102
1/5/2019,Google - Generic - DSA,164,1416,31,2,0,10.19%,103
1/5/2019,Croud_Google_Non-Brand_In Home_Gift,13,376,15,2,0,41.05%,104
1/5/2019,Google - Brand - Corporate - Brand,0,3,0,1,0,75.00%,105
1/5/2019,Google - Brand - Core - SKAG,141,748,150,1,10,96.52%,106
1/5/2019,Google - Brand - Extra Tokens,58,295,102,1,5,44.10%,107
1/5/2019,Google - Generic - Google Play - App,15,70,44,1,1,98.59%,108
1/5/2019,Croud_Google_GDN_In Home_Re-marketing,21,5628,31,1,0,0,109
1/5/2019,Croud_Google_GDN_In Home_Membership Remarketing,5,1995,29,1,0,0,110
1/5/2019,Croud_Google_GDN_In Home_Re-engagement,2,2724,22,1,0,0,111
1/6/2019,Google - Generic - Geo Keywords - Massage,235,8131,228,3,2,19.87%,112
1/6/2019,Google - Generic - Massage - SKAG - National,171,5667,174,3,2,10.13%,113
1/6/2019,Google - Generic - Corporate - Massage,17,660,78,3,1,30.80%,114
1/6/2019,Google - Generic - Massage Types,29,1111,39,3,0,35.15%,115
1/6/2019,Google - UAC - In Home - Android,96,2828,16,3,16,10%,116
1/6/2019,Croud_Google_Non-Brand_In Home_Gift,5,324,6,3,0,40.05%,117
1/6/2019,Google - Generic - Corporate - Competitor,1,19,1,3,0,17.12%,118
1/6/2019,Google - Generic - Therapist - CA,0,15,0,2,0,62.50%,119
1/6/2019,Google - Generic - Masseuse,0,5,0,2,0,62.50%,120
1/6/2019,Google - Generic - In Home - Massage Home Modifier - National,235,3107,803,2,7,80.53%,121
1/6/2019,Google - Generic - Massage - Core - National,191,3903,358,2,3,27.36%,122
1/6/2019,Google - Generic - Competitors,48,2366,65,2,0,18.56%,123
1/6/2019,Google - Generic - DSA,180,1638,33,2,0,11.49%,124
1/6/2019,Google - Generic - Therapist - US,1,10,1,2,0,23.81%,125
1/6/2019,Google - Brand - Corporate - Brand,0,5,0,1,0,100.00%,126
1/6/2019,Google - Brand - Core - SKAG,117,648,161,1,6,97.30%,127
1/6/2019,Google - Brand - Extra Tokens,32,238,61,1,2,37.01%,128
1/6/2019,Google - Generic - Google Play - App,18,85,51,1,1,100.00%,129
1/6/2019,Croud_Google_GDN_In Home_Membership Remarketing,5,1779,20,1,0,0,130
1/6/2019,Croud_Google_GDN_In Home_Re-marketing,17,5451,18,1,0,0,131
1/6/2019,Google - Generic - In Home - Competitors Reme,2,134,4,1,0,60.09%,132
1/6/2019,Croud_Google_GDN_In Home_Re-engagement,1,2966,3,1,0,0,133
1/7/2019,Google - Generic - Therapist - CA,0,12,0,3,0,57.14%,134
1/7/2019,Google - Generic - In Home - Massage Memberships,0,2,0,3,0,20.00%,135
1/7/2019,Google - Generic - Geo Keywords - Massage,227,9457,207,3,2,19.75%,136
1/7/2019,Google - Generic - Corporate - Massage,15,546,72,3,2,27.42%,137
1/7/2019,Google - Generic - Massage - SKAG - National,81,3372,67,3,1,10%,138
1/7/2019,Google - Generic - DSA,128,1185,27,3,0,10%,139
1/7/2019,Google - Generic - Massage Types,20,804,20,3,0,24.48%,140
1/7/2019,Google - UAC - In Home - Android,96,3457,15,3,7,10%,141
1/7/2019,Croud_Google_Non-Brand_In Home_Gift,4,112,4,3,0,41.95%,142
1/7/2019,Google - Generic - Corporate - Competitor,1,17,2,3,0,10.62%,143
1/7/2019,Google - Generic - In Home - Massage Home Modifier - National,208,3176,710,2,6,74.91%,144
1/7/2019,Google - Generic - Massage - Core - National,177,3466,395,2,3,26.20%,145
1/7/2019,Google - Generic - Competitors,27,1134,46,2,0,11.50%,146
1/7/2019,Google - Generic - In Home - Competitors Reme,1,162,3,2,0,51.10%,147
1/7/2019,Google - Generic - Therapist - US,2,14,2,2,0,34.15%,148
1/7/2019,Google - Generic - Masseuse,1,9,1,2,0,81.82%,149
1/7/2019,Google - Brand - Core - SKAG,159,828,163,1,13,98.69%,150
1/7/2019,Google - Brand - Extra Tokens,40,260,73,1,3,36.16%,151
1/7/2019,Croud_Google_GDN_In Home_Membership Remarketing,4,2397,31,1,0,0,152
1/7/2019,Google - Generic - Google Play - App,9,59,28,1,1,98.33%,153
1/7/2019,Croud_Google_GDN_In Home_Re-marketing,21,6744,22,1,1,0,154
1/7/2019,Croud_Google_GDN_In Home_Re-engagement,1,3701,15,1,0,0,155
1/7/2019,Google - Brand - Corporate - Brand,3,8,3,1,0,100.00%,156
1/8/2019,Google - Generic - Corporate - Competitor,0,20,0,4,0,12.58%,157
1/8/2019,Google - Generic - Therapist - US,0,8,0,3,0,20.51%,158
1/8/2019,Google - Generic - Geo Keywords - Massage,218,8549,200,3,2,17.95%,159
1/8/2019,Google - Generic - Corporate - Massage,16,521,88,3,2,27.52%,160
1/8/2019,Google - Generic - Massage - SKAG - National,61,2602,48,3,0,10%,161
1/8/2019,Google - Generic - DSA,88,1085,22,3,0,10%,162
1/8/2019,Google - UAC - In Home - Android,109,4031,18,3,25,10%,163
1/8/2019,Google - Generic - Massage Types,19,806,17,3,0,25.79%,164
1/8/2019,Google - Generic - In Home - Competitors Reme,0,151,0,2,0,50.17%,165
1/8/2019,Google - Generic - Masseuse,0,6,0,2,0,54.55%,166
1/8/2019,Google - Generic - In Home - Massage Home Modifier - National,220,3281,858,2,6,75.30%,167
1/8/2019,Google - Generic - Massage - Core - National,135,3177,312,2,4,24.34%,168
1/8/2019,Google - Generic - Competitors,28,1083,40,2,1,11.47%,169
1/8/2019,Google - Generic - Therapist - CA,1,18,1,2,0,75.00%,170
1/8/2019,Google - Brand - Corporate - Brand,0,9,0,1,0,90.00%,171
1/8/2019,Google - Brand - Core - SKAG,142,826,230,1,12,98.57%,172
1/8/2019,Google - Brand - Extra Tokens,52,332,90,1,4,39.81%,173
1/8/2019,Croud_Google_GDN_In Home_Re-engagement,2,1737,31,1,0,0,174
1/8/2019,Croud_Google_GDN_In Home_Re-marketing,14,3755,22,1,1,0,175
1/8/2019,Croud_Google_GDN_In Home_Membership Remarketing,7,4211,17,1,0,0,176
1/8/2019,Google - Generic - Google Play - App,4,71,8,1,0,98.61%,177
1/9/2019,Google - Generic - Corporate - Competitor,0,35,0,3,0,17.41%,178
1/9/2019,Google - Generic - Geo Keywords - Massage,225,8303,214,3,4,17.57%,179
1/9/2019,Google - Generic - Corporate - Massage,17,676,67,3,4,28.23%,180
1/9/2019,Google - Generic - Massage - SKAG - National,66,2277,58,3,1,10%,181
1/9/2019,Google - Generic - Massage Types,23,800,25,3,0,25.32%,182
1/9/2019,Google - Generic - DSA,72,936,21,3,1,10%,183
1/9/2019,Google - UAC - In Home - Android,93,3369,14,3,13,10%,184
1/9/2019,Google - Generic - Therapist - CA,1,16,1,3,0,55.17%,185
1/9/2019,Google - Generic - In Home - Massage Home Modifier - National,215,3101,779,2,12,72.30%,186
1/9/2019,Google - Generic - Massage - Core - National,133,3237,293,2,1,25.60%,187
1/9/2019,Google - Generic - Competitors,27,1112,36,2,0,11.34%,188
1/9/2019,Google - Generic - In Home - Competitors Reme,2,24,3,2,0,57.14%,189
1/9/2019,Google - Generic - Masseuse,2,13,3,2,0,81.25%,190
1/9/2019,Google - Generic - Therapist - US,1,10,2,2,0,24.39%,191
1/9/2019,Google - Brand - Corporate - Brand,0,5,0,1,0,100.00%,192
1/9/2019,Google - Brand - Core - SKAG,172,831,295,1,12,98.93%,193
1/9/2019,Google - Brand - Extra Tokens,48,292,63,1,3,37.92%,194
1/9/2019,Google - Generic - Google Play - App,12,63,24,1,0,98.44%,195
1/9/2019,Croud_Google_GDN_In Home_Re-marketing,18,6147,21,1,0,0,196
1/9/2019,Croud_Google_GDN_In Home_Membership Remarketing,4,2599,17,1,0,0,197
1/9/2019,Croud_Google_GDN_In Home_Re-engagement,2,3507,7,1,0,0,198
1/10/2019,Google - Generic - Corporate - Competitor,0,22,0,4,0,10.68%,199
1/10/2019,Google - Generic - Geo Keywords - Massage,218,8367,216,3,5,18.04%,200
