Unsaved report,,,,,,,
"January 1, 2019 - August 24, 2019",,,,,,,
Day,Campaign, Clicks , Impressions , Cost , Avg. position , Conversions ,Search Impr. share
8/7/2019,Google - Generic - Massage - Core - National,87.00,1943.00,315.00,2.00, -   ,17.02%
8/7/2019,Google - Generic - In Home - Massage Home Modifier - National,256.00,2570.00,803.00,2.00,12.00,57.83%
8/7/2019,Google - Generic - Masseuse, -   ,9.00, -   ,1.00, -   ,100.00%
8/7/2019,Google - Generic - Geo Keywords - Massage,662.00,18120.00,1732.00,2.00,14.00,32.62%
8/7/2019,Google - Generic - Massage - SKAG - Focus,17.00,520.00,37.00,2.00, -   ,15.24%
8/8/2019,Google - Generic - Massage - SKAG - National,120.00,3477.00,262.00,2.00,4.00,10.70%
8/8/2019,Google - Brand - Core - SKAG,202.00,731.00,312.00,1.00,57.00,97.60%
8/8/2019,Google - Generic - Competitors,45.00,2376.00,194.00,2.00,1.00,15.81%
8/8/2019,Google - Brand - Corporate - Brand,3.00,14.00,12.00,2.00, -   ,87.50%
8/8/2019,Google - Generic - Massage Types,18.00,1279.00,34.00,2.00, -   ,15.52%
8/8/2019,Google - Generic - Masseuse,5.00,17.00,12.00,2.00,1.00,100.00%
8/8/2019,Google - Generic - In Home - Massage Home Modifier - Focus,31.00,381.00,195.00,1.00,1.00,82.47%
8/8/2019,Google - Generic - Massage - SKAG - Focus,17.00,558.00,67.00,3.00, -   ,12.86%
8/8/2019,Google - Generic - Massage - Core - Focus,18.00,448.00,92.00,2.00,1.00,29.03%
8/8/2019,YouTube - Retargeting - Non Visiting Video Watchers - CPM, -   ,84.00,0.00,1.00, -   , --
8/8/2019,Google - Generic - Assisted Stretching - NYC Geo,4.00,137.00,14.00,2.00, -   ,62.84%
8/9/2019,Google - Brand - Core - SKAG,212.00,738.00,486.00,1.00,39.00,98.66%
8/9/2019,Google - Generic - Corporate - Massage,10.00,302.00,78.00,4.00,1.00,35.78%
8/9/2019,Google - Brand - Corporate - Brand, -   ,8.00, -   ,2.00, -   ,100.00%
8/9/2019,Google - Generic - Google Play - App,12.00,102.00,27.00,1.00,2.00,96.23%
8/9/2019,Google - Generic - In Home - Massage Home Modifier - National,216.00,2151.00,993.00,2.00,9.00,54.93%
8/9/2019,Google - Generic - Geo Keywords - Massage,131.00,3902.00,316.00,3.00,3.00,12.09%
8/9/2019,Google - Generic - In Home - Massage Home Modifier - Focus,41.00,420.00,451.00,1.00, -   ,86.78%
8/9/2019,YouTube - Retargeting - Non Visiting Video Watchers - CPM, -   ,14.00,0.00,1.00, -   , --
8/9/2019,YouTube - Retargeting - Non Converters- CPM,12.00,1977.00,29.00,1.00, -   , --
8/9/2019,Google - Generic - Assisted Stretching - NYC Geo,2.00,131.00,8.00,2.00, -   ,62.68%
8/10/2019,Google - Generic - Massage - SKAG - National,123.00,3570.00,252.00,2.00,5.00,11.25%
8/10/2019,Google - Generic - DSA,13.00,201.00,2.00,3.00, -   ,<10%
8/10/2019,Google - Generic - Competitors,37.00,1877.00,243.00,2.00,1.00,12.30%
8/10/2019,Google - UAC - In Home - Android,582.00,65264.00,20.00,1.00,28.00,<10%
8/10/2019,Google - Brand - Corporate - Brand,1.00,6.00,0.00,2.00, -   ,100.00%
8/10/2019,Google - Generic - Google Play - App,10.00,93.00,31.00,1.00, -   ,94.90%
8/10/2019,Google - Generic - Massage - Core - National,107.00,1900.00,247.00,3.00,3.00,19.51%
8/10/2019,Google - Generic - In Home - Massage Home Modifier - National,248.00,2187.00,954.00,2.00,7.00,56.51%
8/10/2019,Google - Generic - Massage - Core - Focus,61.00,655.00,232.00,2.00,4.00,31.43%
8/10/2019,YouTube - Retargeting - Non Visiting Video Watchers - CPM, -   ,14.00,0.00,1.00, -   , --
8/10/2019,YouTube - Retargeting - Non Converters- CPM,3.00,2038.00,29.00,1.00, -   , --
8/10/2019,Google - Generic - Assisted Stretching - NYC Geo,1.00,101.00,2.00,2.00, -   ,62.35%
8/11/2019,Google - Generic - Massage - SKAG - National,132.00,3570.00,253.00,2.00,4.00,12.53%
8/11/2019,Google - Generic - DSA,5.00,177.00,2.00,3.00, -   ,<10%
8/11/2019,Google - Generic - Corporate - Massage,2.00,133.00,3.00,3.00, -   ,28.36%
8/11/2019,Google - Brand - Corporate - Brand,1.00,3.00,4.00,1.00, -   ,100.00%
8/11/2019,Google - Generic - Massage Types,14.00,483.00,25.00,3.00, -   ,11.01%
8/11/2019,Google - Generic - Massage - Core - National,69.00,1607.00,138.00,3.00,3.00,19.31%
8/11/2019,Google - Generic - Masseuse,1.00,20.00,2.00,1.00, -   ,100.00%
8/11/2019,Google - Brand - Extra Tokens,47.00,221.00,128.00,1.00,5.00,98.22%
8/11/2019,Google - Generic - Geo Keywords - Massage,152.00,3737.00,301.00,3.00,6.00,14.77%
8/11/2019,Google - Generic - In Home - Massage Home Modifier - Focus,38.00,321.00,295.00,1.00,2.00,87.23%
8/11/2019,YouTube - Retargeting - Non Visiting Video Watchers - CPM, -   ,3.00, -   ,1.00, -   , --
8/11/2019,Google - Generic - Assisted Stretching - NYC Geo,4.00,109.00,16.00,2.00, -   ,72.67%
8/12/2019,Google - Generic - Massage - SKAG - National,108.00,3633.00,197.00,2.00,1.00,13.12%
8/12/2019,Google - Generic - Corporate - Massage,7.00,279.00,49.00,4.00, -   ,33.21%
8/12/2019,Google - Generic - Competitors,44.00,1841.00,255.00,2.00, -   ,11.85%
8/12/2019,Google - Brand - Corporate - Brand,3.00,9.00,8.00,2.00,1.00,81.82%
8/12/2019,Google - Generic - Massage Types,18.00,732.00,26.00,2.00, -   ,13.73%
8/12/2019,Google - Generic - Massage - Core - National,95.00,2057.00,228.00,3.00,5.00,20.07%
8/12/2019,Google - Generic - In Home - Massage Home Modifier - National,230.00,2497.00,892.00,2.00,13.00,58.35%
8/12/2019,Google - Generic - Masseuse,2.00,28.00,5.00,1.00, -   ,96.55%
8/12/2019,Google - Brand - Extra Tokens,62.00,269.00,350.00,1.00,8.00,100.00%
8/12/2019,YouTube - Retargeting - Non Visiting Video Watchers - CPM, -   ,31.00,0.00,1.00, -   , --
8/12/2019,YouTube - Retargeting - Non Converters- CPM,3.00,2017.00,31.00,1.00, -   , --
8/13/2019,Google - Generic - Massage - SKAG - National,161.00,5466.00,328.00,2.00,2.00,13.32%
8/13/2019,Google - Brand - Core - SKAG,210.00,796.00,469.00,1.00,49.00,97.79%
8/13/2019,Google - Generic - DSA,10.00,284.00,3.00,3.00, -   ,<10%
8/13/2019,Google - Generic - Corporate - Massage,9.00,320.00,51.00,4.00, -   ,35.87%
8/13/2019,Google - Generic - Competitors,48.00,1886.00,224.00,2.00, -   ,13.13%
8/13/2019,Google - Brand - Corporate - Brand, -   ,14.00, -   ,2.00, -   ,100.00%
8/13/2019,Google - Generic - Google Play - App,14.00,95.00,50.00,1.00, -   ,97.94%
8/13/2019,Google - Generic - Massage - Core - National,125.00,2475.00,331.00,3.00,1.00,20.46%
8/13/2019,Google - Generic - Masseuse,3.00,28.00,6.00,1.00, -   ,93.33%
8/13/2019,Google - Generic - Geo Keywords - Massage,175.00,4834.00,386.00,3.00,5.00,15.50%
8/13/2019,Google - Generic - In Home - Massage Home Modifier - Focus,38.00,410.00,244.00,1.00, -   ,85.59%
8/13/2019,YouTube - Retargeting - Non Visiting Video Watchers - CPM, -   ,15.00,0.00,1.00, -   , --
8/14/2019,Google - Brand - Core - SKAG,205.00,763.00,471.00,1.00,39.00,97.70%
8/14/2019,Google - Generic - Corporate - Massage,9.00,358.00,22.00,4.00, -   ,35.03%
8/14/2019,Google - Generic - Competitors,32.00,1730.00,246.00,2.00,1.00,11.88%
8/14/2019,Google - UAC - In Home - Android,657.00,65616.00,21.00,1.00,32.00,<10%
8/14/2019,Google - Brand - Corporate - Brand, -   ,2.00, -   ,1.00, -   ,66.67%
8/14/2019,Google - Generic - Google Play - App,17.00,83.00,91.00,1.00,2.00,97.65%
8/14/2019,Google - Generic - Massage - Core - National,123.00,2921.00,308.00,3.00,2.00,21.97%
8/14/2019,Google - Brand - Extra Tokens,51.00,247.00,285.00,1.00,9.00,99.60%
8/14/2019,Google - Generic - Massage - SKAG - Focus,15.00,586.00,54.00,2.00, -   ,12.00%
8/14/2019,Google - Generic - Massage - Core - Focus,42.00,489.00,164.00,2.00,1.00,28.61%
8/14/2019,Google - Generic - Assisted Stretching - NYC Geo,4.00,160.00,15.00,2.00, -   ,63.24%
8/15/2019,Google - Generic - Massage - SKAG - National,131.00,3930.00,273.00,2.00,3.00,11.24%
8/15/2019,Google - Generic - Corporate - Massage,12.00,322.00,29.00,4.00, -   ,35.82%
8/15/2019,Google - Generic - Competitors,19.00,1230.00,237.00,2.00, -   ,<10%
8/15/2019,Google - UAC - In Home - Android,623.00,67417.00,20.00,1.00,35.00,<10%
8/15/2019,Google - Generic - Massage Types,18.00,1120.00,29.00,3.00, -   ,16.85%
8/15/2019,Google - Generic - Google Play - App,9.00,96.00,38.00,1.00, -   ,96.97%
8/15/2019,Google - Generic - In Home - Massage Home Modifier - National,182.00,1694.00,869.00,2.00,8.00,47.08%
8/15/2019,Google - Generic - Geo Keywords - Massage,140.00,3987.00,305.00,3.00,3.00,12.72%
8/15/2019,Google - Generic - Massage - SKAG - Focus,18.00,952.00,53.00,2.00,1.00,15.36%
8/15/2019,YouTube - Retargeting - Non Converters- CPM,8.00,1867.00,30.00,1.00, -   , --
8/16/2019,Google - Brand - Core - SKAG,187.00,740.00,389.00,1.00,45.00,98.01%
8/16/2019,Google - Generic - DSA,14.00,316.00,12.00,3.00,1.00,<10%
8/16/2019,Google - Generic - Corporate - Massage,6.00,266.00,44.00,4.00, -   ,31.48%
8/16/2019,Google - UAC - In Home - Android,645.00,51018.00,19.00,1.00,20.00,<10%
8/16/2019,Google - Generic - Masseuse,1.00,24.00,2.00,1.00, -   ,68.57%
8/16/2019,Google - Brand - Extra Tokens,39.00,239.00,213.00,1.00,3.00,99.58%
8/16/2019,Google - Generic - Geo Keywords - Massage,139.00,3819.00,293.00,3.00,4.00,14.70%
8/16/2019,Google - Generic - Massage - SKAG - Focus,19.00,650.00,52.00,2.00, -   ,11.63%
8/16/2019,Google - Generic - Massage - Core - Focus,41.00,851.00,180.00,2.00, -   ,36.03%
8/16/2019,YouTube - Retargeting - Non Visiting Video Watchers - CPM, -   ,8.00,0.00,1.00, -   , --
8/16/2019,Google - Generic - Assisted Stretching - NYC Geo,6.00,120.00,24.00,2.00, -   ,55.81%
8/16/2019,Google - Generic - Gift Cards,1.00,23.00,2.00,3.00, -   ,26.14%
8/17/2019,Google - Generic - Massage - SKAG - National,108.00,3710.00,250.00,2.00,2.00,13.06%
8/17/2019,Google - Brand - Core - SKAG,166.00,630.00,318.00,1.00,38.00,98.59%
8/17/2019,Google - Generic - DSA,15.00,345.00,11.00,3.00,1.00,<10%
8/17/2019,Google - Generic - Competitors,34.00,1226.00,203.00,2.00, -   ,<10%
8/17/2019,Google - Brand - Corporate - Brand,2.00,5.00,5.00,1.00, -   ,100.00%
8/17/2019,Google - Generic - Google Play - App,18.00,104.00,60.00,1.00,2.00,95.41%
8/17/2019,Google - Generic - Massage - Core - National,155.00,3412.00,381.00,3.00,4.00,21.38%
8/17/2019,Google - Brand - Extra Tokens,46.00,226.00,167.00,1.00,6.00,100.00%
8/17/2019,Google - Generic - Massage - Core - Focus,50.00,857.00,165.00,2.00, -   ,32.59%
8/17/2019,YouTube - Retargeting - Non Visiting Video Watchers - CPM, -   ,4.00,0.00,1.00, -   , --
8/17/2019,YouTube - Retargeting - Non Converters- CPM,3.00,1727.00,29.00,1.00, -   , --
8/17/2019,Google - Generic - Gift Cards, -   ,13.00, -   ,4.00, -   ,21.31%
8/18/2019,Google - Generic - Massage - SKAG - National,121.00,3713.00,249.00,2.00,2.00,11.74%
8/18/2019,Google - Generic - Corporate - Massage,4.00,105.00,4.00,3.00, -   ,23.28%
8/18/2019,Google - Generic - In Home - Massage Home Modifier - National,279.00,2582.00,979.00,2.00,8.00,66.19%
8/18/2019,Google - Generic - Masseuse,1.00,22.00,4.00,1.00, -   ,91.67%
8/18/2019,Google - Brand - Extra Tokens,60.00,231.00,149.00,1.00,6.00,99.57%
8/18/2019,Google - Generic - Geo Keywords - Massage,157.00,3741.00,303.00,3.00,4.00,14.11%
8/18/2019,Google - Generic - In Home - Massage Home Modifier - Focus,22.00,263.00,135.00,1.00, -   ,77.13%
8/18/2019,YouTube - Retargeting - Non Visiting Video Watchers - CPM, -   ,7.00,0.00,1.00, -   , --
8/18/2019,YouTube - Retargeting - Non Converters- CPM,1.00,1806.00,29.00,1.00, -   , --
8/18/2019,Google - Generic - Assisted Stretching - NYC Geo,4.00,168.00,15.00,1.00, -   ,73.04%
8/18/2019,Google - Generic - Gift Cards,1.00,6.00,2.00,2.00, -   ,10.53%
8/19/2019,Google - Generic - Massage - SKAG - National,88.00,2663.00,136.00,2.00,3.00,11.21%
8/19/2019,Google - Brand - Core - SKAG,190.00,754.00,439.00,1.00,35.00,97.29%
8/19/2019,Google - Generic - Massage Types,17.00,814.00,26.00,2.00, -   ,15.05%
8/19/2019,Google - Generic - Massage - Core - National,102.00,2809.00,283.00,3.00,5.00,20.80%
8/19/2019,Google - Generic - Masseuse,2.00,22.00,4.00,1.00, -   ,81.48%
8/19/2019,Google - Brand - Extra Tokens,63.00,303.00,374.00,1.00,12.00,99.02%
8/19/2019,Google - Generic - Geo Keywords - Massage,153.00,3734.00,288.00,3.00,6.00,12.75%
8/19/2019,YouTube - Retargeting - Non Converters- CPM,5.00,2050.00,31.00,1.00, -   , --
8/19/2019,Google - Generic - Assisted Stretching - NYC Geo,1.00,143.00,5.00,1.00, -   ,57.89%
8/19/2019,Google - Generic - Gift Cards, -   ,11.00, -   ,3.00, -   ,15.28%
8/20/2019,Google - Generic - Massage - SKAG - National,164.00,5121.00,338.00,2.00,3.00,12.68%
8/20/2019,Google - Brand - Core - SKAG,215.00,980.00,590.00,1.00,20.00,97.03%
8/20/2019,Google - Generic - DSA,9.00,300.00,6.00,3.00, -   ,<10%
8/20/2019,Google - Generic - Massage Types,11.00,709.00,13.00,2.00, -   ,13.10%
8/20/2019,Google - Generic - Google Play - App,10.00,94.00,40.00,1.00, -   ,98.95%
8/20/2019,Google - Generic - In Home - Massage Home Modifier - National,263.00,2450.00,1302.00,2.00,3.00,59.63%
8/20/2019,Google - Brand - Extra Tokens,57.00,264.00,274.00,1.00,4.00,98.88%
8/20/2019,Google - Generic - Geo Keywords - Massage,136.00,3820.00,301.00,3.00,1.00,13.30%
8/20/2019,Google - Generic - In Home - Massage Home Modifier - Focus,27.00,256.00,160.00,1.00,1.00,73.64%
8/20/2019,YouTube - Retargeting - Non Visiting Video Watchers - CPM, -   ,20.00,0.00,1.00, -   , --
8/20/2019,YouTube - Retargeting - Non Converters- CPM,5.00,1961.00,30.00,1.00,2.00, --
8/20/2019,Google - Generic - Gift Cards, -   ,20.00, -   ,2.00, -   ,21.51%
8/21/2019,Google - Brand - Core - SKAG,383.00,1690.00,570.00,1.00,38.00,97.41%
8/21/2019,Google - Generic - DSA,12.00,255.00,4.00,3.00, -   ,<10%
8/21/2019,Google - Generic - Corporate - Massage,7.00,238.00,67.00,4.00, -   ,27.74%
8/21/2019,Google - Generic - Competitors,33.00,1013.00,206.00,2.00, -   ,<10%
8/21/2019,Google - UAC - In Home - Android,950.00,69978.00,30.00,1.00,40.00,<10%
8/21/2019,Google - Generic - Massage Types,17.00,1027.00,31.00,3.00, -   ,13.12%
8/21/2019,Google - Generic - Geo Keywords - Massage,222.00,7090.00,485.00,2.00,16.00,19.31%
8/21/2019,Google - Generic - Massage - SKAG - Focus,18.00,388.00,53.00,2.00, -   ,14.26%
8/21/2019,YouTube - Retargeting - Non Converters- CPM,5.00,1939.00,30.00,1.00, -   , --
8/21/2019,Google - Generic - Assisted Stretching - NYC Geo,2.00,204.00,8.00,2.00, -   ,65.38%
8/22/2019,Google - Generic - Competitors,29.00,1118.00,232.00,2.00, -   ,<10%
8/22/2019,Google - UAC - In Home - Android,631.00,57081.00,20.00,1.00,30.00,<10%
8/22/2019,Google - Generic - Massage - Core - National,92.00,1946.00,212.00,3.00,2.00,18.08%
8/22/2019,Google - Brand - Extra Tokens,67.00,344.00,206.00,1.00,6.00,100.00%
8/22/2019,Google - Generic - In Home - Massage Home Modifier - Focus,21.00,241.00,154.00,2.00,2.00,71.51%
8/1/2019,Google - Generic - Massage - SKAG - National,109.00,2238.00,211.00,2.00,6.00,11.76%
8/1/2019,Google - UAC - In Home - Android,554.00,43390.00,20.00,1.00,23.00,<10%
8/1/2019,Google - Generic - Massage - Core - National,59.00,1112.00,205.00,2.00, -   ,15.32%
8/1/2019,Google - Generic - In Home - Massage Home Modifier - National,103.00,1232.00,232.00,2.00,6.00,43.32%
8/1/2019,Google - Brand - Extra Tokens,54.00,240.00,203.00,1.00,11.00,99.59%
8/1/2019,Google - Generic - Massage - SKAG - Focus,16.00,435.00,59.00,2.00,1.00,11.32%
8/1/2019,YouTube - Topics - InStream, -   , -   , -   , -   , -   , --
8/1/2019,YouTube - InMarket - InStream, -   , -   , -   , -   , -   , --
8/2/2019,Google - Generic - Massage - SKAG - National,111.00,2905.00,232.00,2.00,5.00,11.25%
8/2/2019,Google - Generic - Corporate - Massage,8.00,356.00,84.00,4.00,1.00,35.00%
8/2/2019,Google - Brand - Corporate - Brand, -   ,1.00, -   ,1.00, -   ,100.00%
8/2/2019,Google - Generic - Massage - Core - National,152.00,2777.00,606.00,2.00, -   ,20.29%
8/2/2019,Google - Generic - In Home - Massage Home Modifier - National,192.00,1794.00,595.00,2.00,14.00,52.29%
8/2/2019,Google - Brand - Extra Tokens,56.00,231.00,221.00,1.00,14.00,100.00%
8/2/2019,Google - Generic - Geo Keywords - Massage,267.00,7095.00,625.00,2.00,9.00,20.42%
8/2/2019,Google - Generic - In Home - Massage Home Modifier - Focus,47.00,347.00,239.00,1.00,1.00,74.95%
8/2/2019,Google - Generic - Massage - SKAG - Focus,24.00,731.00,51.00,2.00, -   ,15.91%
8/2/2019,Google - Generic - Massage - Core - Focus,43.00,654.00,132.00,2.00, -   ,32.93%
8/2/2019,Google - Generic - Assisted Stretching - NYC Geo,2.00,119.00,10.00,2.00, -   ,64.67%
8/3/2019,Google - Brand - Core - SKAG,241.00,682.00,313.00,1.00,57.00,99.27%
8/3/2019,Google - Generic - Corporate - Massage,8.00,190.00,35.00,3.00, -   ,30.60%
8/3/2019,Google - UAC - In Home - Android,615.00,68774.00,20.00,1.00,19.00,<10%
8/3/2019,Google - Brand - Corporate - Brand, -   ,1.00, -   ,1.00, -   ,100.00%
8/3/2019,Google - Generic - Google Play - App,19.00,126.00,80.00,1.00,2.00,98.44%
8/3/2019,Google - Generic - In Home - Massage Home Modifier - National,253.00,2272.00,845.00,2.00,5.00,56.20%
8/3/2019,Google - Generic - Masseuse,2.00,22.00,3.00,1.00, -   ,95.65%
8/3/2019,Google - Generic - Geo Keywords - Massage,453.00,10360.00,974.00,2.00,6.00,26.31%
8/3/2019,YouTube - Retargeting - Non Converters- CPM,1.00,1737.00,29.00,1.00, -   , --
8/4/2019,Google - UAC - In Home - Android,630.00,40221.00,20.00,1.00,27.00,<10%
