,# ----------------------------------------,,,,,,,,
,# www.zeel.com,,,,,,,,
,# New Custom Report,,,,,,,,
,# 20190726-20190824,,,,,,,,
,# ----------------------------------------,,,,,,,,
,,,,,,,,,
Index,Age,Affinity Category (reach),Gender,Region,Device Category,Sessions,Avg. Session Duration,Pages / Session,All 5 Flow Conversions
52,25-34,Vehicles & Transportation/Auto Enthusiasts,male,California,desktop,935,0:02:58,6.09,20
53,25-34,Media & Entertainment/Music Lovers,female,New York,desktop,928,0:04:39,5.5,36
54,25-34,Beauty & Wellness/Frequently Visits Salons,female,New York,desktop,921,0:04:08,5.38,39
55,25-34,Beauty & Wellness/Frequently Visits Salons,female,California,desktop,909,0:03:53,6.22,31
56,25-34,Shoppers/Shopaholics,female,California,desktop,906,0:04:34,5.95,27
57,25-34,Sports & Fitness/Sports Fans,male,California,desktop,876,0:03:07,5.89,25
58,25-34,Lifestyles & Hobbies/Green Living Enthusiasts,male,California,desktop,846,0:03:35,6.3,15
59,25-34,Lifestyles & Hobbies/Family-Focused,female,California,desktop,840,0:04:58,6.12,12
60,25-34,Technology/Technophiles,female,New York,desktop,836,0:04:08,5.21,37
61,25-34,Banking & Finance/Avid Investors,female,New York,desktop,814,0:03:48,5.32,30
62,25-34,Shoppers/Luxury Shoppers,male,California,desktop,803,0:03:07,6.05,23
63,25-34,Lifestyles & Hobbies/Green Living Enthusiasts,female,New York,desktop,801,0:03:39,5.23,23
64,25-34,Lifestyles & Hobbies/Nightlife Enthusiasts,male,California,desktop,786,0:03:10,5.93,14
65,25-34,Home & Garden/Do-It-Yourselfers,male,California,desktop,783,0:02:50,5.76,9
66,25-34,Lifestyles & Hobbies/Nightlife Enthusiasts,female,New York,desktop,776,0:04:12,5.47,30
67,35-44,Lifestyles & Hobbies/Business Professionals,male,California,desktop,772,0:02:14,5.57,16
68,35-44,Banking & Finance/Avid Investors,male,California,desktop,758,0:02:19,5.56,13
69,25-34,Media & Entertainment/Book Lovers,female,California,desktop,757,0:05:45,6.13,20
70,25-34,Food & Dining/Foodies,male,California,desktop,735,0:02:49,5.79,18
71,25-34,Media & Entertainment/Light TV Viewers,female,New York,desktop,727,0:04:13,5.52,28
72,35-44,Media & Entertainment/Movie Lovers,male,California,desktop,721,0:02:15,5.54,12
73,25-34,Media & Entertainment/Movie Lovers,male,New York,desktop,713,0:03:01,4.82,14
74,25-34,Shoppers/Shopaholics,female,New York,desktop,713,0:04:13,5.65,33
75,25-34,Lifestyles & Hobbies/Outdoor Enthusiasts,female,California,desktop,710,0:04:37,6.7,22
76,25-34,Media & Entertainment/Gamers,male,California,desktop,703,0:02:59,5.55,9
77,25-34,Technology/Mobile Enthusiasts,male,California,desktop,698,0:03:48,6.16,15
78,35-44,Lifestyles & Hobbies/Business Professionals,female,California,desktop,696,0:04:30,6.11,23
79,35-44,Shoppers/Value Shoppers,male,California,desktop,695,0:02:10,5.56,8
80,35-44,Travel/Business Travelers,male,California,desktop,690,0:02:13,5.53,12
81,25-34,Lifestyles & Hobbies/Shutterbugs,male,California,desktop,689,0:03:00,5.94,14
82,25-34,Lifestyles & Hobbies/Nightlife Enthusiasts,female,California,desktop,682,0:03:57,6.07,16
